Date,MSFT
2018-09-27,106.78638458251953
2018-09-28,106.74906921386719
2018-10-01,107.90641021728516
2018-10-02,107.47708129882812
2018-10-03,107.4957275390625
2018-10-04,105.27430725097656
2018-10-05,104.65828704833984
2018-10-08,103.4636001586914
2018-10-09,104.77965545654297
2018-10-10,99.08611297607422
2018-10-11,98.852783203125
2018-10-12,102.26888275146484
2018-10-15,100.43016815185547
2018-10-16,103.60359954833984
2018-10-17,103.33293151855469
2018-10-18,101.27018737792969
2018-10-19,101.41951751708984
2018-10-22,102.32486724853516
2018-10-23,100.8968505859375
2018-10-24,95.50200653076172
2018-10-25,101.0835189819336
2018-10-26,99.83280181884766
2018-10-29,96.93002319335938
2018-10-30,96.81802368164062
2018-10-31,99.69281005859375
2018-11-01,98.86207580566406
2018-11-02,99.08611297607422
