Date,GOOG
2018-09-27,59.326019287109375
2018-09-28,59.267913818359375
2018-10-01,59.35928726196289
2018-10-02,59.597660064697266
2018-10-03,59.73868942260742
2018-10-04,58.012508392333984
2018-10-05,57.47419357299805
2018-10-08,57.058040618896484
2018-10-09,56.55398941040039
2018-10-10,53.69356155395508
2018-10-11,53.599205017089844
2018-10-12,55.12675094604492
2018-10-15,54.24131393432617
2018-10-16,55.682945251464844
2018-10-17,55.40534973144531
2018-10-18,54.02876281738281
2018-10-19,54.450382232666016
2018-10-22,54.683780670166016
2018-10-23,54.809425354003906
2018-10-24,52.17843246459961
2018-10-25,54.406185150146484
2018-10-26,53.20937728881836
2018-10-29,50.657344818115234
2018-10-30,51.45835876464844
2018-10-31,53.47257614135742
2018-11-01,53.136375427246094
