Date,NVDA
2018-09-25,6.648138523101807
2018-09-26,6.611232757568359
2018-09-27,6.623123645782471
2018-09-28,6.960471153259277
2018-10-01,7.167040824890137
2018-10-02,7.09570837020874
2018-10-03,7.101901531219482
2018-10-04,6.917623519897461
2018-10-05,6.684053897857666
2018-10-08,6.582751274108887
2018-10-09,6.577053546905518
2018-10-10,6.085396766662598
2018-10-11,5.82383918762207
2018-10-12,6.106449604034424
2018-10-15,5.830033302307129
2018-10-16,6.088864326477051
2018-10-17,6.020255088806152
2018-10-18,5.932822227478027
2018-10-19,5.676219463348389
2018-10-22,5.726996421813965
2018-10-23,5.475346565246582
2018-10-24,4.939105987548828
2018-10-25,5.14790678024292
2018-10-26,4.911365032196045
2018-10-29,4.5975470542907715
2018-10-30,5.0280256271362305
2018-10-31,5.221963405609131
