Date,JNJ
2018-07-23,103.33220672607422
2018-07-24,105.55992889404297
2018-07-25,104.9560775756836
2018-07-26,106.3106689453125
2018-07-27,107.34700012207031
2018-07-30,107.85295104980469
2018-07-31,108.1385498046875
2018-08-01,108.23643493652344
2018-08-02,107.10218811035156
2018-08-03,107.67340087890625
2018-08-06,107.73052978515625
2018-08-07,107.27354431152344
2018-08-08,107.03692626953125
2018-08-09,107.06139373779297
2018-08-10,106.69418334960938
2018-08-13,106.26171112060547
2018-08-14,105.67415618896484
2018-08-15,106.43305206298828
2018-08-16,108.10590362548828
2018-08-17,109.72974395751953
2018-08-20,111.69637298583984
2018-08-21,110.44786071777344
2018-08-22,109.8440170288086
2018-08-23,110.25201416015625
2018-08-24,110.93746185302734
2018-08-27,110.8306884765625
2018-08-28,110.33783721923828
2018-08-29,110.7813949584961
2018-08-30,110.8553237915039
2018-08-31,110.6417465209961
2018-09-04,109.84495544433594
2018-09-05,111.60285949707031
2018-09-06,112.43252563476562
2018-09-07,112.80218505859375
2018-09-10,112.7118148803711
2018-09-11,113.77970886230469
2018-09-12,114.47795867919922
2018-09-13,114.91333770751953
2018-09-14,114.584716796875
2018-09-17,114.97083282470703
2018-09-18,115.4472427368164
2018-09-19,115.38153076171875
2018-09-20,116.63017272949219
2018-09-21,117.36946105957031
2018-09-24,115.3897476196289
2018-09-25,113.88648986816406
2018-09-26,113.49217224121094
2018-09-27,113.54148864746094
2018-09-28,113.5003890991211
2018-10-01,114.74906158447266
2018-10-02,115.39795684814453
2018-10-03,114.20685577392578
2018-10-04,114.4697265625
2018-10-05,114.26436614990234
2018-10-08,114.50257873535156
2018-10-09,114.34650421142578
2018-10-10,113.13895416259766
2018-10-11,109.94351959228516
2018-10-12,109.96815490722656
2018-10-15,110.03386688232422
2018-10-16,112.1778793334961
2018-10-17,114.56009674072266
2018-10-18,114.59293365478516
2018-10-19,114.22331237792969
2018-10-22,113.91935729980469
2018-10-23,114.12467956542969
2018-10-24,112.9253921508789
2018-10-25,113.74687194824219
2018-10-26,112.5146713256836
2018-10-29,112.99112701416016
2018-10-30,115.61978149414062
2018-10-31,114.9954605102539
2018-11-01,115.67723083496094
2018-11-02,115.56226348876953
