Date,JPM
2018-09-27,93.91675567626953
2018-09-28,92.53901672363281
2018-10-01,93.08026123046875
2018-10-02,93.46570587158203
2018-10-03,94.34321594238281
2018-10-04,95.19380950927734
2018-10-05,94.65702056884766
2018-10-08,95.23511505126953
2018-10-09,94.5744400024414
2018-10-10,92.05565643310547
2018-10-11,89.29737091064453
2018-10-12,88.3228759765625
2018-10-15,87.81912231445312
2018-10-16,89.7020263671875
2018-10-17,90.70127868652344
2018-10-18,89.26432037353516
2018-10-19,89.11567687988281
2018-10-22,87.83563995361328
2018-10-23,86.91896057128906
2018-10-24,85.30033874511719
2018-10-25,86.59687805175781
2018-10-26,85.40768432617188
2018-10-29,86.588623046875
2018-10-30,88.11642456054688
2018-10-31,90.0323486328125
2018-11-01,89.99931335449219
2018-11-02,89.50383758544922
