Date,XOM
2018-09-27,61.86396789550781
2018-09-28,61.32301330566406
2018-10-01,61.89281463623047
2018-10-02,62.36164855957031
2018-10-03,62.138057708740234
2018-10-04,61.7269401550293
2018-10-05,61.553810119628906
2018-10-08,62.12361526489258
2018-10-09,62.3977165222168
2018-10-10,60.96235656738281
2018-10-11,58.85623550415039
2018-10-12,58.69756317138672
2018-10-15,58.29363250732422
2018-10-16,58.56772232055664
2018-10-17,58.78410720825195
2018-10-18,59.03656005859375
2018-10-19,59.123104095458984
2018-10-22,58.53166580200195
2018-10-23,57.58677673339844
2018-10-24,55.985557556152344
2018-10-25,56.48323440551758
2018-10-26,55.9206428527832
2018-10-29,55.57443618774414
2018-10-30,56.822242736816406
2018-10-31,57.47136306762695
2018-11-01,58.185447692871094
2018-11-02,59.10869598388672
