Date,AAPL,MSFT,AMZN,GOOG,NVDA,META,TSLA,JNJ,JPM,XOM
2022-02-17,165.78140258789062,282.4146423339844,154.65249633789062,131.4092254638672,24.460983276367188,206.5767059326172,292.1166687011719,148.75685119628906,137.82089233398438,69.22241973876953
2022-02-18,164.23037719726562,279.6947021484375,152.60150146484375,129.5807342529297,23.59760284423828,205.03517150878903,285.6600036621094,147.1623077392578,138.4670867919922,68.45257568359375
2022-02-22,161.30508422851562,279.49072265625,150.19749450683594,128.52297973632812,23.346078872680664,200.97743225097656,273.84332275390625,145.16246032714844,138.22134399414062,67.65620422363281
2022-02-23,157.13302612304688,272.2538146972656,144.82699584960938,126.71784210205078,22.344961166381836,197.36721801757812,254.67999267578125,145.23452758789062,135.32716369628906,67.93050384521484
2022-02-24,159.75404357910156,286.16424560546875,151.35800170898438,131.771728515625,23.703405380249023,206.46731567382812,266.92333984375,142.45989990234375,131.55921936035156,67.07219696044922
2022-02-25,161.82530212402344,288.806396484375,153.7884979248047,133.60520935058594,24.11163330078125,209.3315887451172,269.9566650390625,149.54054260253906,134.67184448242188,68.87730407714844
2022-02-28,162.0903778076172,290.244140625,153.56300354003906,133.9741668701172,24.339210510253903,209.87860107421875,290.1433410644531,148.25233459472656,129.05636596679688,69.3905258178711
2022-03-01,160.20559692382812,286.5139465332031,151.14199829101562,133.256103515625,23.43291473388672,202.3797149658203,288.1233215332031,147.73887634277344,124.18717956542967,70.0541763305664
2022-03-02,163.5039520263672,291.6040344238281,152.05250549316406,133.8356170654297,24.17863655090332,206.9745178222656,293.2966613769531,149.57659912109375,126.76282501220705,71.25758361816406
2022-03-03,163.18002319335938,287.45623779296875,147.89849853515625,133.39515686035156,23.673500061035156,201.86257934570312,279.7633361816406,151.774658203125,125.8617706298828,71.70885467529297
2022-03-04,160.17617797851562,281.5694580078125,145.64100646972656,131.2239990234375,22.89682960510254,198.96844482421875,279.42999267578125,152.6754913330078,122.32140350341795,74.40766906738281
2022-03-07,156.37718200683594,270.9327087402344,137.4530029296875,125.6049575805664,21.315534591674805,186.44712829589844,268.1933288574219,155.1348114013672,117.59783172607422,77.08879089355469
2022-03-08,154.55130004882812,267.96026611328125,136.01449584960938,126.4134292602539,21.47726058959961,189.2517547607422,274.79998779296875,151.99085998535156,116.76961517333984,77.67280578613281
2022-03-09,159.96018981933594,280.2484130859375,139.2790069580078,132.95614624023438,22.974700927734375,197.41696166992188,286.3233337402344,152.56741333007812,121.4476547241211,73.25735473632812
2022-03-10,155.6114959716797,277.421630859375,146.8175048828125,131.78021240234375,22.619306564331055,194.14491271972656,279.4333190917969,152.83766174316406,120.00965881347656,75.53144073486328
2022-03-11,151.8910369873047,272.05950927734375,145.52450561523438,129.58868408203125,22.0622615814209,186.58636474609375,265.1166687011719,152.5583953857422,117.30657196044922,75.14210510253906
2022-03-14,147.85643005371094,268.5333251953125,141.85299682617188,125.87957000732422,21.29357147216797,185.6117401123047,255.4566650390625,154.66636657714844,118.47154235839844,72.45214080810547
2022-03-15,152.24440002441406,278.93707275390625,147.3665008544922,128.7792510986328,22.933767318725582,190.9822540283203,267.2966613769531,158.67515563964844,120.57395935058594,68.3287124633789
2022-03-16,156.66184997558594,285.969970703125,153.10400390625,132.7818603515625,24.454166412353516,202.5189666748047,280.07666015625,157.2157745361328,125.9619140625,68.07208251953125
2022-03-17,157.67294311523438,286.7762451171875,157.23899841308594,133.68565368652344,24.72370719909668,206.70599365234375,290.5333251953125,159.2696990966797,127.5546417236328,69.88605499267578
2022-03-18,160.97129821777344,291.8371887207031,161.25050354003906,135.8717041015625,26.40782356262207,215.3088226318359,301.7966613769531,157.50404357910156,127.50914764404295,69.61174774169922
